M, N, compression factor 1, compression factor 2, naive time, rle time
2,2,1.5,1.5,4e-06,1.8e-05
8,8,1.5,1.5,1e-06,0.000158
18,18,2.375,1.35714,3e-06,0.000362
32,32,2.75,3,6e-06,0.000472
50,50,2.55,2.42857,9e-06,0.001321
72,72,3.65,2.28125,1.7e-05,0.002083
98,98,3.66667,2.475,2.6e-05,0.003793
128,128,3.48649,2.15,7.5e-05,0.008728
162,162,3.07547,2.23288,0.000148,0.014474
200,200,3.40678,2.48148,0.000107,0.017999
242,242,4.58491,2.6129,0.000217,0.020137
288,288,3.36047,2.75238,0.000211,0.034179
338,338,4.03571,3.29126,0.000278,0.034429
392,392,3.57273,3.09449,0.000384,0.051053
450,450,3.36567,2.66864,0.000538,0.081447
512,512,3.82836,2.60406,0.000629,0.100232
578,578,3.48795,2.60811,0.001665,0.129041
648,648,3.9816,2.97706,0.001006,0.1292
722,722,3.63317,3.05063,0.001559,0.169811
800,800,3.56,3.02264,0.001532,0.211971
882,882,3.69456,2.85761,0.001727,0.257557
968,968,3.60223,2.85841,0.002308,0.314744
1058,1058,3.85091,2.7942,0.003215,0.366761
1152,1152,3.7074,2.84691,0.003008,0.441697
1250,1250,3.73433,2.65605,0.004101,0.542905
1352,1352,3.7688,3.11034,0.003984,0.542778
1458,1458,3.77003,2.73734,0.006447,0.713924
1568,1568,3.95214,2.74781,0.006576,0.777685
1682,1682,4.19701,3.13408,0.007413,0.768186
1800,1800,3.79158,2.74125,0.008143,1.08508
1922,1922,3.9165,3.16804,0.009219,1.01976
2048,2048,4.10621,2.87377,0.011496,1.2421
2178,2178,4.3493,3.10842,0.011111,1.25858
2312,2312,4.07937,3.07989,0.012724,1.4704
2450,2450,4.27749,3.09079,0.014306,1.59432
2592,2592,4.03266,2.95667,0.015574,1.96096
2738,2738,4.18168,3.24142,0.018057,1.93907
2888,2888,4.29272,3.12324,0.019854,2.18414
3042,3042,3.91634,3.10827,0.022484,2.63904
3200,3200,4.05703,2.76664,0.024594,3.49123
