M, N, compression factor 1, compression factor 2, naive time, rle time
2,2,1.5,1.5,6e-06,5.6e-05
8,8,1.5,1.5,6e-06,0.000214
18,18,2.375,1.35714,2e-05,0.000696
32,32,2.75,3,5.1e-05,0.000902
50,50,2.55,2.42857,0.000115,0.002692
72,72,3.65,2.28125,0.000223,0.004851
98,98,3.66667,2.475,0.000556,0.008636
128,128,3.48649,2.15,0.000654,0.015525
162,162,3.07547,2.23288,0.001057,0.030433
200,200,3.40678,2.48148,0.001797,0.036244
242,242,4.58491,2.6129,0.002243,0.039041
288,288,3.36047,2.75238,0.003188,0.068599
338,338,4.03571,3.29126,0.005201,0.065501
392,392,3.57273,3.09449,0.005958,0.102295
450,450,3.36567,2.66864,0.007797,0.15887
512,512,3.82836,2.60406,0.01029,0.201347
578,578,3.48795,2.60811,0.012725,0.255265
648,648,3.9816,2.97706,0.015886,0.263847
722,722,3.63317,3.05063,0.020698,0.326075
800,800,3.56,3.02264,0.027987,0.418306
882,882,3.69456,2.85761,0.030619,0.511359
968,968,3.60223,2.85841,0.039577,0.634252
1058,1058,3.85091,2.7942,0.047255,0.778149
1152,1152,3.7074,2.84691,0.053573,0.94519
1250,1250,3.73433,2.65605,0.065625,1.20897
1352,1352,3.7688,3.11034,0.070925,1.20216
1458,1458,3.77003,2.73734,0.086102,1.51788
1568,1568,3.95214,2.74781,0.102422,1.76509
1682,1682,4.19701,3.13408,0.111292,1.65174
1800,1800,3.79158,2.74125,0.128212,2.24021
1922,1922,3.9165,3.16804,0.142514,2.09221
2048,2048,4.10621,2.87377,0.168721,2.60864
2178,2178,4.3493,3.10842,0.183058,2.70585
2312,2312,4.07937,3.07989,0.208549,2.96823
2450,2450,4.27749,3.09079,0.232728,3.21181
2592,2592,4.03266,2.95667,0.261067,3.97291
2738,2738,4.18168,3.24142,0.285987,3.92321
2888,2888,4.29272,3.12324,0.322069,4.40728
3042,3042,3.91634,3.10827,0.355451,5.30268
3200,3200,4.05703,2.76664,0.39722,6.7579
